0,"Filler CIP Not Active"
1,"Beginning of Pre-Rinse Phase"
7,"Open All Drains, Air Blow From Suction Manifold"
13,"Fresh Water Rinse Balance Tank with Drain Open"
16,"Gravity Drain"
20,"Fill Balance Tank with Make-Up Water"
22,"Establish Valve Path, Past. > 238 F, Regen > 180 F for 20 Seconds"
23,"Establish Valve Path"
25,"Forward Flow, Establish Return Flow, Full Regen"
26,26
28,"Forward Flow, Full Regen, Rinse Metered Recycle Line"
29,29
30,"Forward Flow, Full Regen, Rinse Cold Recycle Line"
31,"Forward Flow, Full Regen, Rinse Metered Divert Cool Inlet"
32,"Forward Flow, Full Regen, Rinse Divert inlet, Product Supply Pump"
33,33
36,"Sprayball Fillers 30 and 31 To Drain"
37,"Open and Verify Filler Header Product Supply Thinktop"
38,"Verify Fillers 30 and 31 Surge Tanks are Empty"
39,39
42,"Flood Filler Surge Tanks on 30 and 31, Verify Levels > 95%"
43,"Flood Fillers 30 and 31 out the Vent"
44,"Transition"
45,45
47,"Burst Metering Tank Through Sprayball"
48,48
49,"Open and Verify Filler Header Product Supply Thinktop"
50,50
51,"Burst Filler 31 Manifold"
52,"Transition"
53,"Burst Filler 30 Manifold"
56,"Dose Both Fillers, Transition To Divert Flow"
57,57
62,"Rinse Transfer to Drain at Batch Tank"
63,"Rinse Transfer to Drain at Transfer Pump"
64,"Rinse Transfer at Process Module #3 FCV Inlet"
65,65
66,"Rinse Balance Tank Through Raw FCV Inlet"
67,"Transition"
68,"Rinse Balance Tank Through Sprayball"
69,69
70,"Pump Balance Tank Empty to Drain"
71,"Gravity Drain"
72,72
200,"Beginning Of Wash Phase"
202,"Fill Balance Tank with Make-Up Water"
206,"Establish Valve Path"
209,"Begin Caustic Addition Verify Concentration and Temperature"
212,"Clean Divert Cool Section, Raw Regen, and Transfer Piping"
215,"Clean Forward Flow Valve Lower Seat Lift"
216,"Transition to Forward Flow"
219,"Full Flow Bypass Regen, Verify Caustic Level and Increment if O.K."
222,"Full Flow, Full Regen, Sprayball Balance and Metering Tanks"
228,"Sprayball Fillers 30 and 31, Metering Tank Divert Inlet"
230,"Bypass Fillers, Return thru Filler Return Pump"
232,"Sprayball Fillers 30 and 31, Balance Tank Cold Recycle Line"
242,"Flood Filler Surge Tanks 30 and 31, Verify Levels >95%"
243,"Burst Filler 31 Manifold"
244,"Transition"
245,"Burst Filler 30 Manifold"
246,"Transition"
251,"Flood Fillers 30 and 31 Surge Tank Out the Vent"
252,"Transition"
256,"Dose Both Fillers for Time, Operator must verify that Filler is Dosing"
262,"Pump Balance and Metering Tank Empty"
271,"Gravity Drain"
400,"Beginning Of Post Rinse Phase"
407,"Open All Drains, Air Blow From Suction Manifold"
413,"Fresh Water Rinse Balance Tank with Drain Open"
416,"Gravity Drain"
420,"Fill Balance Tank with Make-Up Water"
422,"Establish Valve Path, Past. > 238 F, Regen > 180 F for 20 Seconds"
423,"Establish Valve Path"
425,"Forward Flow, Establish Return Flow, Full Regen"
426,426
428,"Forward Flow, Full Regen, Rinse Metered Recycle Line"
429,429
430,"Forward Flow, Full Regen, Rinse Cold Recycle Line"
431,"Forward Flow, Full Regen, Rinse Metered Divert Cool Inlet"
432,"Forward Flow, Full Regen, Rinse Divert inlet, Product Supply Pump"
433,433
436,"Sprayball Filler 30 and 31 To Drain"
437,"Open and Verify Filler Header Product Supply Thinktop"
438,"Verify Filler 31 Surge Tank is Empty"
439,439
442,"Flood Filler Surge Tanks 30 and 31, Verify Levels > 95%"
443,"Flood Fillers 30 and 31 out the Vent"
444,"Transition"
445,45
447,"Burst Metering Tank Through Sprayball"
448,48
449,"Open and Verify Filler Header Product Supply Thinktop"
450,450
451,"Burst Filler 31 Manifold"
452,"Transition"
453,"Burst Filler 30 Manifold"
456,"Dose Both Fillers, Transition To Divert Flow"
457,457
462,"Rinse Transfer to Drain at Batch Tank"
463,"Rinse Transfer to Drain at Transfer Pump"
464,"Rinse Transfer at Process Module #3 FCV Inlet"
465,465
466,"Rinse Balance Tank Through Raw FCV Inlet"
467,"Transition"
468,"Rinse Balance Tank Through Sprayball"
469,469
470,"Pump Balance Tank Empty to Drain"
471,"Gravity Drain"
472,472
600,"Begining of Sanitize Phase"
601,601
602,"Fresh Water Rinse Balance Tank to Drain"
603,"Gravity Drain"
604,"Establish Balance Tank Level"
605,605
606,"Sanitize Heat and Divert Section, Raw Product Inlet"
607,"Transition"
608,"Sanitize Metered Recycle and Sprayball Balance Tank"
609,"Sanitize Metered Recycle and Product Divert Return Line"
610,610
612,"Transition"
613,"Bypass Regen, Forward Flow, Bypass Filler 31, Sprayball Metering Tank"
614,"Full Regen, Forward Flow, Bypass Fillers, Sprayball Metering Tank"
615,"Sanitize Fillers 30 and 31 Through Sprayball While Dosing"
616,616
617,"Flood Fillers 30 and 31 out the Vent"
618,618
619,"Burst Filler Manifolds and Sanitize Filler Return Pumps"
625,"Pump Balance and Metering Tank to Drain"
629,"Gravity Drain"
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
163,163
164,164
165,165
166,166
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,176
177,177
178,178
179,179
180,180
181,181
182,182
183,183
184,184
185,185
186,186
187,187
188,188
189,189
190,190
191,191
192,192
193,193
194,194
195,195
196,196
197,197
198,198
199,199
200,200
201,201
202,202
203,203
204,204
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,212
213,213
214,214
215,215
216,216
217,217
218,218
219,219
220,220
221,221
222,222
223,223
224,224
225,225
226,226
227,227
228,228
229,229
230,230
231,231
232,232
233,233
234,234
235,235
236,236
237,237
238,238
239,239
240,240
241,241
242,242
243,243
244,244
245,245
246,246
247,247
248,248
249,249
250,250
251,251
252,252
253,253
254,254
255,255
256,256
257,257
258,258
259,259
260,260
261,261
262,262
263,263
264,264
265,265
266,266
267,267
268,268
269,269
270,270
271,271
272,272
273,273
274,274
275,275
276,276
277,277
278,278
279,279
280,280
281,281
282,282
283,283
284,284
285,285
286,286
287,287
288,288
289,289
290,290
291,291
292,292
293,293
294,294
295,295
296,296
297,297
298,298
299,299
300,300
301,301
302,302
303,303
304,304
305,305
306,306
307,307
308,308
309,309
310,310
311,311
312,312
313,313
314,314
315,315
316,316
317,317
318,318
319,319
320,320
321,321
322,322
323,323
324,324
325,325
326,326
327,327
328,328
329,329
330,330
331,331
332,332
333,333
334,334
335,335
336,336
337,337
338,338
339,339
340,340
341,341
342,342
343,343
344,344
