0,CIP NOT ACTIVE
4,ESTABLISH FRESH TANK HIGH LEVEL & PATH
7,ESTABLISH FRESH TANK HIGH LEVEL
8,ESTABLISH FRESH TANK HIGH LEVEL
9,ESTABLISH FRESH TANK HIGH LEVEL
13,RINSE BATCH TANK 1 TO LOCAL DRAIN
14,RINSE BATCH TANK 2 TO LOCAL DRAIN
15,RINSE TANK 1 & RETURN TO DRAIN
16,RINSE TANK 2 & RETURN TO DRAIN
17,RINSE CONTIMIX TO DRAIN AT WASTE TANK
19,RINSE ONLY / GRAVITY ONLY
20,RINSE ONLY / GRAVITY ONLY
22,"RINSE JUICE TOTE 1 & 2, ESS INJ, MAIN HDR TO CIP DRAIN"
23,"RINSE JUICE TOTE 2 & 3, ESS REC, MAIN HDR TO CIP DRAIN"
24,"RINSE JUICE TOTE 3 & 1, ESS INJ. MAIN HDR TO CIP DRAIN"
25,"RINSE JUICE TOTE 1 & 2, ESS REC, MAIN HDR TO CIP DRAIN"
26,"RINSE JUICE TOTE 2 & 3, ESS INJ. MAIN HDR TO CIP DRAIN"
27,"RINSE JUICE TOTE 3 & 1, ESS REC, MAIN HDR TO CIP DRAIN"
28,TRANSITION IF VITAMIN C & PRES SELECTED
31,RINSE VITAMIN C TOTE 1 AND PRES TOTE
32,RINSE VITAMIN C TOTE 2 AND PRES TOTE
33,RINSE VITAMIN C TOTE 1 AND PRES TOTE
34,RINSE VITAMIN C TOTE 2 AND PRES TOTE
40,TRANSITION IF VITAMIN C & PRES SELECTED
41,TRANSITION
44,RINSE MAIN HDR FULL FLOW TK 1 INLET
45,TRANSITION
46,RINSE MAIN HDR FULL FLOW TK 2 INLET
47,TRANSITION
48,RINSE MAIN HDR FULL FLOW TK 1 INLET
49,TRANSITION
50,RINSE MAIN HDR FULL FLOW TK 2 INLET
51,TRANSITION
56,RINSE BATCH TANK 1 THROUGH SPRAYBALL
57,TRANSITION
58,RINSE BATCH TANK 2 THROUGH SPRAYBALL
59,TRANSITION
60,RINSE BATCH TANK 1 THROUGH SPRAYBALL
61,TRANSITION
62,RINSE BATCH TANK 2 THROUGH SPRAYBALL
63,TRANSITION
69,PUMP BOTH BATCH TANKS EMPTY TO DRAIN
70,GRAVITY DRAIN
201,TRANSITION
202,TRANSITION
203,TRANSITION
204,TRANSITION
209,BEGIN CAUSTIC ADD. / ESTABLISH BT 1 LEVEL
210,BEGIN CAUSTIC ADD. / ESTABLISH BT 2 LEVEL
211,BEGIN CAUSTIC ADD. / ESTABLISH RTN TEMP
212,BEGIN CAUSTIC ADD. / ESTABLISH RTN TEMP 1
213,BEGIN CAUSTIC ADD. / ESTABLISH RTN TEMP 2
214,BEGIN CAUSTIC ADD. / ESTABLISH RTN DUAL TANK
215,BEGIN CAUSTIC ADD. / ESTABLISH RTN TEMP VIT C/PRES
216,SPRAYBALL TANK 1
217,SPRAYBALL TANK 2
218,TRANSITION
219,TRANSITION
220,CLEAN TANK 1 THROUGH INLET
221,CLEAN TANK 2 THROUGH INLET
222,CLEAN TANK 1 THROUGH INLET W/SEAT LIFTS
223,CLEAN TANK 2 THROUGH INLET W/SEAT LIFTS
231,TRANSITION
232,TRANSITION
233,PUMP BATCH TANK TO DRAIN
234,PUMP BATCH TANK TO DRAIN
